,Bacon,Current Price,Unit Price,Sale,Store Location,Url
13,Boar's Head Breakfast Turkey Sausage - 6 Ounce,$3.50,was $4.99,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
14,Boar's Head Breakfast Chicken Sausage Links - 7 Ounce,$5.99,,$0.86/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
15,Boar's Head All Natural Robust Italian Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
16,Boar's Head All Natural Honeycrisp Apple Chicken Sausages - 12 Ounce,$7.99,,$0.67/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
17,Boar's Head All Natural Breakfast Pork Sausage - 6 Ounce,$3.50,was $4.99,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
18,Bilinski's Organic Wild Mushrooms With Italian Herbs Chicken Sausage - 12 Ounce,$7.49,,$0.62/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
19,Boar's Head Bratwurst - 16 Ounce,$8.29,,$0.52/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
20,Boar's Head All Natural Chorizo Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
21,Bilinski's Organic Spinach & Spring Greens Chicken Sausage - 12 Ounce,$7.49,,$0.62/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
22,Bilinski's Organic Mild Italian With Bell Peppers Chicken Sausage - 12 Ounce,$7.49,,$0.62/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
